model,variable,assessability_mismatch,ordinal_shift_up_mild,ordinal_shift_up_severe,over_labeling_keyword_present,over_labeling_no_keyword,under_labeling,under_labeling_long_abstract
gpt-oss-20b,D1_imryd_conclusiones,0,0,0,1,1,3,0
gpt-oss-20b,D1_imryd_resultados,0,0,0,0,1,0,0
gpt-oss-20b,D1_orden_logico,0,0,0,0,3,1,0
gpt-oss-20b,D2_coherencia,0,16,15,0,0,0,0
gpt-oss-20b,D3_conclusion_responde,0,0,0,0,1,1,1
gpt-oss-20b,D3_contextualizacion,0,0,0,1,0,11,0
gpt-oss-20b,D3_metodo_detallado,0,0,0,2,2,0,0
gpt-oss-20b,D3_resultados_concretos,0,0,0,0,2,0,0
gpt-oss-20b,D4_consistencia,0,3,27,0,0,0,0
mistral-7b,D1_imryd_conclusiones,0,0,0,0,1,0,0
mistral-7b,D1_imryd_metodologia,0,0,0,0,0,1,0
mistral-7b,D1_orden_logico,0,0,0,0,0,2,0
mistral-7b,D2_coherencia,0,1,1,0,0,0,0
mistral-7b,D3_conclusion_responde,0,0,0,0,1,0,0
mistral-7b,D3_contextualizacion,0,0,0,0,0,3,0
mistral-7b,D3_metodo_detallado,0,0,0,0,0,1,0
mistral-7b,D3_resultados_concretos,0,0,0,0,1,0,0
mistral-7b,D4_consistencia,0,0,4,0,0,0,0
mistral-7b,no_evaluable,1,0,0,0,0,0,0
