doc_id,annotator,category,label
GT-001,A1,D1_imryd_conclusiones,1.0
GT-001,A1,D1_imryd_metodologia,1.0
GT-001,A1,D1_imryd_objetivo,1.0
GT-001,A1,D1_imryd_resultados,1.0
GT-001,A1,D1_orden_logico,1.0
GT-001,A1,D2_coherencia,2.0
GT-001,A1,D3_conclusion_responde,1.0
GT-001,A1,D3_contextualizacion,1.0
GT-001,A1,D3_metodo_detallado,1.0
GT-001,A1,D3_resultados_concretos,1.0
GT-001,A1,D4_consistencia,3.0
GT-001,A1,no_evaluable,0.0
GT-002,A1,D1_imryd_conclusiones,1.0
GT-002,A1,D1_imryd_metodologia,1.0
GT-002,A1,D1_imryd_objetivo,1.0
GT-002,A1,D1_imryd_resultados,0.0
GT-002,A1,D1_orden_logico,0.0
GT-002,A1,D2_coherencia,2.0
GT-002,A1,D3_conclusion_responde,1.0
GT-002,A1,D3_contextualizacion,0.0
GT-002,A1,D3_metodo_detallado,0.0
GT-002,A1,D3_resultados_concretos,0.0
GT-002,A1,D4_consistencia,2.0
GT-002,A1,no_evaluable,0.0
GT-003,A1,D1_imryd_conclusiones,0.0
GT-003,A1,D1_imryd_metodologia,0.0
GT-003,A1,D1_imryd_objetivo,1.0
GT-003,A1,D1_imryd_resultados,0.0
GT-003,A1,D1_orden_logico,1.0
GT-003,A1,D2_coherencia,3.0
GT-003,A1,D3_conclusion_responde,0.0
GT-003,A1,D3_contextualizacion,0.0
GT-003,A1,D3_metodo_detallado,0.0
GT-003,A1,D3_resultados_concretos,0.0
GT-003,A1,no_evaluable,1.0
GT-004,A1,D1_imryd_conclusiones,1.0
GT-004,A1,D1_imryd_metodologia,1.0
GT-004,A1,D1_imryd_objetivo,1.0
GT-004,A1,D1_imryd_resultados,1.0
GT-004,A1,D1_orden_logico,1.0
GT-004,A1,D2_coherencia,4.0
GT-004,A1,D3_conclusion_responde,1.0
GT-004,A1,D3_contextualizacion,1.0
GT-004,A1,D3_metodo_detallado,1.0
GT-004,A1,D3_resultados_concretos,0.0
GT-004,A1,D4_consistencia,2.0
GT-004,A1,no_evaluable,0.0
GT-005,A1,D1_imryd_conclusiones,0.0
GT-005,A1,D1_imryd_metodologia,1.0
GT-005,A1,D1_imryd_objetivo,1.0
GT-005,A1,D1_imryd_resultados,1.0
GT-005,A1,D1_orden_logico,1.0
GT-005,A1,D2_coherencia,3.0
GT-005,A1,D3_conclusion_responde,0.0
GT-005,A1,D3_contextualizacion,1.0
GT-005,A1,D3_metodo_detallado,1.0
GT-005,A1,D3_resultados_concretos,1.0
GT-005,A1,D4_consistencia,3.0
GT-005,A1,no_evaluable,0.0
GT-006,A1,D1_imryd_conclusiones,0.0
GT-006,A1,D1_imryd_metodologia,1.0
GT-006,A1,D1_imryd_objetivo,1.0
GT-006,A1,D1_imryd_resultados,0.0
GT-006,A1,D1_orden_logico,1.0
GT-006,A1,D2_coherencia,3.0
GT-006,A1,D3_conclusion_responde,0.0
GT-006,A1,D3_contextualizacion,1.0
GT-006,A1,D3_metodo_detallado,1.0
GT-006,A1,D3_resultados_concretos,0.0
GT-006,A1,D4_consistencia,1.0
GT-006,A1,no_evaluable,0.0
GT-007,A1,D1_imryd_conclusiones,0.0
GT-007,A1,D1_imryd_metodologia,1.0
