variable,metric,alpha_A1_A2,alpha_runs_gpt-oss-20b,alpha_runs_mistral-7b,alpha_runs_qwen3-8b,alpha_all
D1_imryd_objetivo,nominal,1.000,0.499,1.000,1.000,0.193
D1_imryd_metodologia,nominal,0.833,0.823,0.265,1.000,0.548
D1_imryd_resultados,nominal,0.923,0.881,0.615,1.000,0.725
D1_imryd_conclusiones,nominal,0.881,0.758,0.552,0.964,0.546
D1_orden_logico,nominal,0.702,0.726,0.272,0.933,0.363
D2_coherencia,ordinal,0.745,0.338,0.590,0.493,0.240
D3_contextualizacion,nominal,0.697,0.648,0.118,0.488,0.089
D3_metodo_detallado,nominal,0.704,0.737,0.461,0.943,0.517
D3_resultados_concretos,nominal,0.968,0.734,0.625,0.947,0.640
D3_conclusion_responde,nominal,0.836,0.770,0.552,0.964,0.522
D4_consistencia,ordinal,0.738,0.380,0.692,0.866,0.046
no_evaluable,nominal,1.000,0.811,,,0.364
