doc_id,annotator,notes
GT-001,A1,"D2=2: el bloque 'Resultado' abre afirmando que existe relacion y a continuacion enumera frecuencias sociodemograficas y sintomas sin jerarquia, de modo que hay que releer para reconstruir que responde a que. D4=2: diseno declarado descriptivo y conclusion de relacion; 'todas las variables son significativas con p<0,05' sin nombrar ninguna prueba. || REVISADO D4 2->3 (ancla del 3): un diseno declarado descriptivo que concluye relacion es el ejemplo literal de 'una discordancia visible'; que las variables se declaren significativas sin nombrar prueba es la imprecision menor del ancla 4, no una segunda discordancia."
GT-001,A2,"La conclusion reproduce el enunciado del objetivo sin interpretar, de ahi D1 Conclusiones=0 y D3 Concl. responde=0. El bloque de resultados vuelca porcentajes sociodemograficos ajenos a la pregunta y afirma que 'todas las variables son significativas con p<0,05' sin nombrar prueba ni medida de asociacion. Del metodo solo consta n=72."
GT-001,gpt-oss-20b#r1,Resumen con encabezados estructurados; conclusión repite el resultado sin interpretación adicional; flujo general coherente; falta de contextualización del problema.
GT-001,gpt-oss-20b#r2,Conclusión simplemente repite resultado; no aporta interpretación adicional. Coherencia alta; resultados agrupados en una oración larga.
GT-001,gpt-oss-20b#r3,Conclusión simplemente repite el resultado sin interpretación adicional; falta contextualización de la importancia del estudio.
GT-001,mistral-7b#r2,El resumen menciona p-valores pero no da estadísticos
GT-001,mistral-7b#r3,"El resumen no especifica el nivel de funcionalidad ni el tipo de dolor, pero el resultado puede inferirse de la descripción"
GT-001,qwen3-8b#r1,"El resumen presenta una secuencia lógica y coherente, aunque hay algunas repeticiones y frases que podrían mejorar su fluidez. La metodología se describe con claridad, incluyendo el diseño, el tipo de estudio y la muestra. Los resultados son concretos, con porcentajes y descripciones específicas. La conclusión responde al objetivo y se basa en los resultados presentados. Sin embargo, la consistencia metodológica se ve afectada por la afirmación de que todas las variables son significativas con p<0,05, sin proporcionar detalles sobre las pruebas estadísticas utilizadas."
GT-001,qwen3-8b#r2,"El resumen sigue la secuencia IMRyD correctamente. La coherencia es 3 porque hay saltos entre las variables y no se explica claramente por qué se relaciona la calidad de vida con la funcionalidad. La contextualización es 0 porque no se explica por qué es importante estudiar la relación entre calidad de vida y funcionalidad en pacientes mastectomizadas. La consistencia metodológica es 2 porque, aunque se mencionan las variables significativas con p<0,05, no se explica claramente cómo se midió la funcionalidad ni se justifica la relación entre las variables."
GT-001,qwen3-8b#r3,"El resumen presenta una secuencia lógica con los componentes IMRyD. La coherencia es 3 debido a que hay saltos entre las variables y la descripción de las variables es fragmentada. La contextualización es 0 porque no se explica por qué es relevante la relación entre calidad de vida y funcionalidad. La consistencia metodológica es 2 debido a que se menciona que todas las variables son significativas con p<0,05, pero no se reporta el estadístico exacto ni el valor del p."
GT-002,A1,"Resultados=0: no reporta hallazgos, solo la afirmacion de que el neuromarketing es una herramienta estrategica. Orden=0: la metodologia (revision bibliografica) aparece en la ultima linea, despues del cierre. Contexto=0: no situa problema, lugar ni poblacion. Metodo detallado=0: 'revision bibliografica' sin bases, periodo ni criterios. D4=2: anticipa la conclusion antes de cualquier evidencia y alterna tiempo futuro propio de un proyecto."
GT-002,A2,"Revision bibliografica declarada solo por su nombre, al final del texto y despues de la conclusion: no hay bases, criterios ni corpus, por eso D1 Metodologia=0 aunque el tipo de estudio exista. Anuncia la estructura del documento en lugar de exponer hallazgos y afirma la conclusion que ya presuponia la introduccion."
GT-002,gpt-oss-20b#r1,Metodología ubicada al final del resumen; falta de detalles metodológicos y resultados concretos.
GT-002,gpt-oss-20b#r3,"Metodología se menciona al final, lo que rompe el orden lógico; falta detalle metodológico y concreción en resultados."
GT-002,mistral-7b#r1,No hay metodología detallada
GT-002,mistral-7b#r3,Se refiere a metodología pero no se da información sobre el tipo o procedimiento
GT-002,qwen3-8b#r1,"El resumen menciona que se realizó una revisión bibliográfica, pero no proporciona detalles específicos sobre el procedimiento metodológico. La ausencia de resultados concretos se refleja en D3_resultados_concretos = 0. La conclusión responde al objetivo, pero no se mencionan resultados específicos que respalden la afirmación de que el neuromarketing es una herramienta estratégica para el posicionamiento de marca."
GT-002,qwen3-8b#r2,"El resumen no presenta resultados concretos, solo describe la metodología y el objetivo. La conclusión responde al objetivo, pero no se menciona cómo se llegó a esa conclusión. La coherencia es buena, pero se podría mejorar con más detalles metodológicos y resultados concretos."
GT-002,qwen3-8b#r3,"El resumen menciona que se utilizó una metodología de revisión bibliográfica, pero no da detalles sobre el proceso de revisión, como la fuente de información o el enfoque utilizado. En cuanto a los resultados, el resumen no proporciona hallazgos concretos, solo una afirmación general sobre la utilidad del neuromarketing. La conclusión responde al objetivo, pero no se mencionan los resultados que respaldan dicha afirmación."
GT-003,A1,"NO EVALUABLE=1: no hay metodologia; el texto anuncia que 'se identifica la metodologia de investigacion' pero nunca la enuncia, por lo que D4 queda vacio segun el manual. Es un resumen de la estructura del documento (primera parte, segunda parte, finalmente), sin resultados ni conclusiones. Solo el objetivo es recuperable."
GT-003,A2,"Resumen que describe los capitulos de la tesis: enuncia el objetivo y el software, pero no hay procedimiento de ningun tipo, ni resultados. Al no existir metodologia se marca No evaluable=1 y D4 queda vacio."
GT-003,gpt-oss-20b#r1,"El resumen indica el objetivo y menciona la metodología de investigación de forma genérica, sin detalles concretos. No se presentan resultados ni conclusiones, y la contextualización del problema es insuficiente. Debido a la ausencia de información metodológica concreta, la dimensión de consistencia metodológica no es evaluable."
GT-003,gpt-oss-20b#r2,"Resumen describe solo la intención del proyecto; no especifica la metodología, resultados ni conclusión. Por lo tanto, D4 no evaluable."
GT-003,gpt-oss-20b#r3,Resumen sin resultados ni conclusión; metodología mínima; D4 no evaluable.
GT-003,mistral-7b#r1,No se menciona ninguna metodología para evaluar la consistencia
GT-003,mistral-7b#r3,La metodología no se detalla adecuadamente
