variable,type,dimension,A1_n,A1_p1,A2_n,A2_p1,LLM_prior_n,LLM_prior_p1,A1_mean,A1_dist,A2_mean,A2_dist,LLM_prior_mean,LLM_prior_dist
D1_imryd_objetivo,binary,D1,159,0.994,159,0.994,210,1.000,,,,,,
D1_imryd_metodologia,binary,D1,159,0.931,159,0.906,210,0.924,,,,,,
D1_imryd_resultados,binary,D1,159,0.868,159,0.849,210,0.848,,,,,,
D1_imryd_conclusiones,binary,D1,159,0.704,159,0.692,210,0.690,,,,,,
D1_orden_logico,binary,D1,159,0.950,159,0.962,210,0.924,,,,,,
D2_coherencia,ordinal,D2,159,,159,,210,,3.000,1:1 2:44 3:73 4:36 5:5,3.220,1:1 2:28 3:70 4:55 5:5,3.386,1:12 2:34 3:51 4:87 5:26
D3_contextualizacion,binary,D3,159,0.918,159,0.925,210,0.443,,,,,,
D3_metodo_detallado,binary,D3,159,0.774,159,0.830,210,0.829,,,,,,
D3_resultados_concretos,binary,D3,159,0.730,159,0.742,210,0.790,,,,,,
D3_conclusion_responde,binary,D3,159,0.654,159,0.629,210,0.676,,,,,,
D4_consistencia,ordinal,D4,148,,148,,193,,2.304,1:19 2:81 3:36 4:8 5:4,2.399,1:8 2:85 3:43 4:12,3.642,1:10 2:33 3:31 4:61 5:58
no_evaluable,binary,control,160,0.075,160,0.075,214,0.098,,,,,,
