model,variable,assessability_mismatch,ordinal_shift_down_mild,ordinal_shift_up_mild,ordinal_shift_up_severe,over_labeling_keyword_present,over_labeling_no_keyword,under_labeling,under_labeling_long_abstract
gpt-oss-20b,D1_imryd_conclusiones,0,0,0,0,1,9,6,0
gpt-oss-20b,D1_imryd_metodologia,0,0,0,0,0,1,0,0
gpt-oss-20b,D1_imryd_resultados,0,0,0,0,1,3,1,0
gpt-oss-20b,D1_orden_logico,0,0,0,0,0,3,6,0
gpt-oss-20b,D2_coherencia,0,0,60,44,0,0,0,0
gpt-oss-20b,D3_conclusion_responde,0,0,0,0,1,8,6,1
gpt-oss-20b,D3_contextualizacion,0,0,0,0,1,1,63,0
gpt-oss-20b,D3_metodo_detallado,0,0,0,0,8,2,0,0
gpt-oss-20b,D3_resultados_concretos,0,0,0,0,2,5,3,0
gpt-oss-20b,D4_consistencia,0,3,8,88,0,0,0,0
gpt-oss-20b,no_evaluable,3,0,0,0,0,0,0,0
mistral-7b,D1_imryd_conclusiones,0,0,0,0,2,23,0,1
mistral-7b,D1_imryd_metodologia,0,0,0,0,0,1,5,2
mistral-7b,D1_imryd_objetivo,0,0,0,0,0,1,4,0
mistral-7b,D1_imryd_resultados,0,0,0,0,2,1,6,2
mistral-7b,D1_orden_logico,0,0,0,0,0,3,18,2
mistral-7b,D2_coherencia,0,2,47,13,0,0,0,0
mistral-7b,D3_conclusion_responde,0,0,0,0,7,25,0,1
mistral-7b,D3_contextualizacion,0,0,0,0,0,0,119,5
mistral-7b,D3_metodo_detallado,0,0,0,0,5,2,5,2
mistral-7b,D3_resultados_concretos,0,0,0,0,9,11,5,2
mistral-7b,D4_consistencia,0,0,22,77,0,0,0,0
mistral-7b,no_evaluable,12,0,0,0,0,0,0,0
qwen3-8b,D1_imryd_conclusiones,0,0,0,0,0,25,1,0
qwen3-8b,D1_imryd_metodologia,0,0,0,0,1,2,0,0
qwen3-8b,D1_imryd_objetivo,0,0,0,0,0,1,1,0
qwen3-8b,D1_imryd_resultados,0,0,0,0,3,0,1,0
qwen3-8b,D1_orden_logico,0,0,0,0,0,4,9,0
qwen3-8b,D2_coherencia,0,5,58,8,0,0,0,0
qwen3-8b,D3_conclusion_responde,0,0,0,0,4,27,0,0
qwen3-8b,D3_contextualizacion,0,0,0,0,0,0,136,5
qwen3-8b,D3_metodo_detallado,0,0,0,0,9,5,1,0
qwen3-8b,D3_resultados_concretos,0,0,0,0,9,14,2,0
qwen3-8b,D4_consistencia,0,6,61,14,0,0,0,0
qwen3-8b,no_evaluable,12,0,0,0,0,0,0,0
