doc_id,annotator,category,label
GT-001,A1,D1_imryd_conclusiones,1.0
GT-001,A1,D1_imryd_metodologia,1.0
GT-001,A1,D1_imryd_objetivo,1.0
GT-001,A1,D1_imryd_resultados,1.0
GT-001,A1,D1_orden_logico,1.0
GT-001,A1,D2_coherencia,2.0
GT-001,A1,D3_conclusion_responde,1.0
GT-001,A1,D3_contextualizacion,1.0
GT-001,A1,D3_metodo_detallado,1.0
GT-001,A1,D3_resultados_concretos,1.0
GT-001,A1,D4_consistencia,3.0
GT-001,A1,no_evaluable,0.0
GT-001,A2,D1_imryd_conclusiones,0.0
GT-001,A2,D1_imryd_metodologia,1.0
GT-001,A2,D1_imryd_objetivo,1.0
GT-001,A2,D1_imryd_resultados,1.0
GT-001,A2,D1_orden_logico,1.0
GT-001,A2,D2_coherencia,2.0
GT-001,A2,D3_conclusion_responde,0.0
GT-001,A2,D3_contextualizacion,1.0
GT-001,A2,D3_metodo_detallado,0.0
GT-001,A2,D3_resultados_concretos,1.0
GT-001,A2,D4_consistencia,2.0
GT-001,A2,no_evaluable,0.0
GT-001,gpt-oss-20b#r1,D1_imryd_conclusiones,0.0
GT-001,gpt-oss-20b#r1,D1_imryd_metodologia,1.0
GT-001,gpt-oss-20b#r1,D1_imryd_objetivo,1.0
GT-001,gpt-oss-20b#r1,D1_imryd_resultados,1.0
GT-001,gpt-oss-20b#r1,D1_orden_logico,1.0
GT-001,gpt-oss-20b#r1,D2_coherencia,4.0
GT-001,gpt-oss-20b#r1,D3_conclusion_responde,1.0
GT-001,gpt-oss-20b#r1,D3_contextualizacion,0.0
GT-001,gpt-oss-20b#r1,D3_metodo_detallado,1.0
GT-001,gpt-oss-20b#r1,D3_resultados_concretos,1.0
GT-001,gpt-oss-20b#r1,D4_consistencia,5.0
GT-001,gpt-oss-20b#r1,no_evaluable,0.0
GT-001,gpt-oss-20b#r2,D1_imryd_conclusiones,0.0
GT-001,gpt-oss-20b#r2,D1_imryd_metodologia,1.0
GT-001,gpt-oss-20b#r2,D1_imryd_objetivo,1.0
GT-001,gpt-oss-20b#r2,D1_imryd_resultados,1.0
GT-001,gpt-oss-20b#r2,D1_orden_logico,1.0
GT-001,gpt-oss-20b#r2,D2_coherencia,5.0
GT-001,gpt-oss-20b#r2,D3_conclusion_responde,1.0
GT-001,gpt-oss-20b#r2,D3_contextualizacion,0.0
GT-001,gpt-oss-20b#r2,D3_metodo_detallado,1.0
GT-001,gpt-oss-20b#r2,D3_resultados_concretos,1.0
GT-001,gpt-oss-20b#r2,D4_consistencia,5.0
GT-001,gpt-oss-20b#r2,no_evaluable,0.0
GT-001,gpt-oss-20b#r3,D1_imryd_conclusiones,0.0
GT-001,gpt-oss-20b#r3,D1_imryd_metodologia,1.0
GT-001,gpt-oss-20b#r3,D1_imryd_objetivo,1.0
GT-001,gpt-oss-20b#r3,D1_imryd_resultados,1.0
GT-001,gpt-oss-20b#r3,D1_orden_logico,1.0
GT-001,gpt-oss-20b#r3,D2_coherencia,5.0
GT-001,gpt-oss-20b#r3,D3_conclusion_responde,0.0
GT-001,gpt-oss-20b#r3,D3_contextualizacion,0.0
GT-001,gpt-oss-20b#r3,D3_metodo_detallado,1.0
