doc_id,phase,stratum,thesis_type,institution,year,abstract_words,handle
GT-001,principal,Ciencias Médicas y de la Salud,bachelorThesis,UANCV,2025,237,https://repositorio.uancv.edu.pe/handle/UANCV/2189
GT-002,principal,Ciencias Sociales,bachelorThesis,UPEU,2019,145,https://hdl.handle.net/20.500.12840/2864
GT-003,principal,Ingeniería y Tecnología,bachelorThesis,UANCV,2025,93,https://repositorio.uancv.edu.pe/handle/UANCV/3509
GT-004,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPSC,2026,240,http://repositorio.upsc.edu.pe/handle/20.500.14891/2446
GT-005,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,276,https://repositorio.unap.edu.pe/handle/20.500.14082/23535
GT-006,principal,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2020,205,https://hdl.handle.net/20.500.12840/3105
GT-007,principal,Ciencias Sociales,bachelorThesis,UPSC,2022,251,http://repositorio.upsc.edu.pe/handle/UPSC/421
GT-008,principal,Ingeniería y Tecnología,masterThesis,UNAP,2025,248,https://repositorio.unap.edu.pe/handle/20.500.14082/24528
GT-009,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2021,393,https://repositorio.unap.edu.pe/handle/20.500.14082/15562
GT-010,principal,(sin código FORD),bachelorThesis,UNAP,2019,261,https://repositorio.unap.edu.pe/handle/20.500.14082/11504
GT-011,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2022,219,https://repositorio.unap.edu.pe/handle/20.500.14082/18271
GT-012,principal,(sin código FORD),bachelorThesis,UNAP,2016,276,https://repositorio.unap.edu.pe/handle/20.500.14082/2812
GT-013,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,281,https://repositorio.unap.edu.pe/handle/20.500.14082/14718
GT-014,principal,Ciencias Sociales,bachelorThesis,UNAP,2023,169,https://repositorio.unap.edu.pe/handle/20.500.14082/20392
GT-015,principal,Ciencias Sociales,bachelorThesis,UPEU,2021,311,https://hdl.handle.net/20.500.12840/4271
GT-016,principal,(sin código FORD),bachelorThesis,UNAP,2018,215,https://repositorio.unap.edu.pe/handle/20.500.14082/8064
GT-017,principal,Ciencias Naturales,bachelorThesis,UNAP,2025,206,https://repositorio.unap.edu.pe/handle/20.500.14082/25564
GT-018,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,213,https://repositorio.unap.edu.pe/handle/20.500.14082/22838
GT-019,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2025,228,https://repositorio.unap.edu.pe/handle/20.500.14082/24518
GT-020,principal,Ciencias Sociales,bachelorThesis,UPEU,2026,370,https://hdl.handle.net/20.500.12840/9777
GT-021,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2023,342,https://repositorio.unap.edu.pe/handle/20.500.14082/21033
GT-022,principal,Ciencias Sociales,bachelorThesis,UPEU,2024,263,https://hdl.handle.net/20.500.12840/7706
GT-023,principal,Humanidades y Artes,bachelorThesis,UPEU,2022,530,https://hdl.handle.net/20.500.12840/5243
GT-024,principal,Ciencias Sociales,bachelorThesis,UNAP,2022,251,https://repositorio.unap.edu.pe/handle/20.500.14082/18687
GT-025,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,285,https://repositorio.unap.edu.pe/handle/20.500.14082/16711
GT-026,principal,Ciencias Sociales,bachelorThesis,UPEU,2026,244,https://hdl.handle.net/20.500.12840/9898
GT-027,principal,Humanidades y Artes,bachelorThesis,UPEU,2020,226,https://hdl.handle.net/20.500.12840/3475
GT-028,principal,Ciencias Naturales,masterThesis,UNAP,2025,246,https://repositorio.unap.edu.pe/handle/20.500.14082/24160
GT-029,principal,(sin código FORD),bachelorThesis,UNAP,2017,424,https://repositorio.unap.edu.pe/handle/20.500.14082/3961
GT-030,principal,Ingeniería y Tecnología,bachelorThesis,UPEU,2021,293,https://hdl.handle.net/20.500.12840/4354
GT-031,principal,Ingeniería y Tecnología,bachelorThesis,UPSC,2022,286,http://repositorio.upsc.edu.pe/handle/UPSC/264
GT-032,principal,Ciencias Naturales,bachelorThesis,UNAP,2024,269,https://repositorio.unap.edu.pe/handle/20.500.14082/22844
GT-033,principal,Ciencias Naturales,doctoralThesis,UNAP,2026,249,https://repositorio.unap.edu.pe/handle/20.500.14082/26148
GT-034,principal,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,314,https://repositorio.unap.edu.pe/handle/20.500.14082/15129
GT-035,principal,Humanidades y Artes,bachelorThesis,UNAP,2024,285,https://repositorio.unap.edu.pe/handle/20.500.14082/21110
GT-036,principal,Ciencias Sociales,bachelorThesis,UNAP,2024,264,https://repositorio.unap.edu.pe/handle/20.500.14082/21324
GT-037,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2020,328,https://repositorio.unap.edu.pe/handle/20.500.14082/14682
GT-038,principal,(sin código FORD),bachelorThesis,UPEU,2017,176,https://hdl.handle.net/20.500.12840/615
GT-039,principal,(sin código FORD),masterThesis,UNAP,2016,306,https://repositorio.unap.edu.pe/handle/20.500.14082/681
GT-040,principal,Ciencias Sociales,bachelorThesis,UPEU,2020,214,https://hdl.handle.net/20.500.12840/3708
GT-041,principal,Ciencias Agrícolas y Veterinarias,bachelorThesis,UPEU,2020,134,https://hdl.handle.net/20.500.12840/3241
GT-042,principal,Ciencias Naturales,bachelorThesis,UPEU,2021,210,https://hdl.handle.net/20.500.12840/4544
GT-043,principal,(sin código FORD),bachelorThesis,UNAP,2016,265,https://repositorio.unap.edu.pe/handle/20.500.14082/1931
GT-044,principal,Ciencias Naturales,bachelorThesis,UNAP,2025,246,https://repositorio.unap.edu.pe/handle/20.500.14082/24498
