doc_id,stratum,estrato,tipo,institucion_cod,anio,resumen_palabras
GT-001,Ciencias Médicas y de la Salud,Ciencias Médicas y de la Salud,bachelorThesis,UANCV,2025,237
GT-002,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2019,145
GT-003,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UANCV,2025,93
GT-004,Ciencias Médicas y de la Salud,Ciencias Médicas y de la Salud,bachelorThesis,UPSC,2026,240
GT-005,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,276
GT-006,Ciencias Médicas y de la Salud,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2020,205
GT-007,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPSC,2022,251
GT-008,Ingeniería y Tecnología,Ingeniería y Tecnología,masterThesis,UNAP,2025,248
GT-009,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2021,393
GT-010,(sin código FORD),(sin código FORD),bachelorThesis,UNAP,2019,261
GT-011,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UNAP,2022,219
GT-012,(sin código FORD),(sin código FORD),bachelorThesis,UNAP,2016,276
GT-013,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,281
GT-014,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UNAP,2023,169
GT-015,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2021,311
GT-016,(sin código FORD),(sin código FORD),bachelorThesis,UNAP,2018,215
GT-017,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UNAP,2025,206
GT-018,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2024,213
GT-019,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2025,228
GT-020,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2026,370
GT-021,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2023,342
GT-022,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2024,263
GT-023,Humanidades y Artes,Humanidades y Artes,bachelorThesis,UPEU,2022,530
GT-024,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UNAP,2022,251
GT-025,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,285
GT-026,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2026,244
GT-027,Humanidades y Artes,Humanidades y Artes,bachelorThesis,UPEU,2020,226
GT-028,Ciencias Naturales,Ciencias Naturales,masterThesis,UNAP,2025,246
GT-029,(sin código FORD),(sin código FORD),bachelorThesis,UNAP,2017,424
GT-030,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UPEU,2021,293
GT-031,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UPSC,2022,286
GT-032,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UNAP,2024,269
GT-033,Ciencias Naturales,Ciencias Naturales,doctoralThesis,UNAP,2026,249
GT-034,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UNAP,2021,314
GT-035,Humanidades y Artes,Humanidades y Artes,bachelorThesis,UNAP,2024,285
GT-036,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UNAP,2024,264
GT-037,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UNAP,2020,328
GT-038,(sin código FORD),(sin código FORD),bachelorThesis,UPEU,2017,176
GT-039,(sin código FORD),(sin código FORD),masterThesis,UNAP,2016,306
GT-040,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2020,214
GT-041,Ciencias Agrícolas y Veterinarias,Ciencias Agrícolas y Veterinarias,bachelorThesis,UPEU,2020,134
GT-042,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UPEU,2021,210
GT-043,(sin código FORD),(sin código FORD),bachelorThesis,UNAP,2016,265
GT-044,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UNAP,2025,246
GT-045,Ingeniería y Tecnología,Ingeniería y Tecnología,bachelorThesis,UPEU,2024,203
GT-046,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UNAP,2017,229
GT-047,Ciencias Sociales,Ciencias Sociales,masterThesis,UPEU,2020,189
GT-048,Ciencias Sociales,Ciencias Sociales,bachelorThesis,UPEU,2022,249
GT-049,Ciencias Naturales,Ciencias Naturales,bachelorThesis,UNAP,2018,221
GT-050,Ciencias Sociales,Ciencias Sociales,masterThesis,UNAP,2024,249
GT-051,Ciencias Médicas y de la Salud,Ciencias Médicas y de la Salud,bachelorThesis,UPEU,2019,246
