doc_id,annotator,category,label
GT-001,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-001,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-001,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-001,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-001,gpt-oss-20b#r1,D1_orden_logico,1
GT-001,gpt-oss-20b#r1,D2_coherencia,4
GT-001,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-001,gpt-oss-20b#r1,D3_contextualizacion,0
GT-001,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-001,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-001,gpt-oss-20b#r1,D4_consistencia,5
GT-001,gpt-oss-20b#r1,no_evaluable,0
GT-002,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-002,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-002,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-002,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-002,gpt-oss-20b#r1,D1_orden_logico,1
GT-002,gpt-oss-20b#r1,D2_coherencia,3
GT-002,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-002,gpt-oss-20b#r1,D3_contextualizacion,1
GT-002,gpt-oss-20b#r1,D3_metodo_detallado,0
GT-002,gpt-oss-20b#r1,D3_resultados_concretos,0
GT-002,gpt-oss-20b#r1,D4_consistencia,5
GT-002,gpt-oss-20b#r1,no_evaluable,0
GT-003,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-003,gpt-oss-20b#r1,D1_imryd_metodologia,0
GT-003,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-003,gpt-oss-20b#r1,D1_imryd_resultados,0
GT-003,gpt-oss-20b#r1,D1_orden_logico,1
GT-003,gpt-oss-20b#r1,D2_coherencia,4
GT-003,gpt-oss-20b#r1,D3_conclusion_responde,0
GT-003,gpt-oss-20b#r1,D3_contextualizacion,0
GT-003,gpt-oss-20b#r1,D3_metodo_detallado,0
GT-003,gpt-oss-20b#r1,D3_resultados_concretos,0
GT-003,gpt-oss-20b#r1,no_evaluable,1
GT-004,gpt-oss-20b#r1,D1_imryd_conclusiones,1
GT-004,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-004,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-004,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-004,gpt-oss-20b#r1,D1_orden_logico,1
GT-004,gpt-oss-20b#r1,D2_coherencia,5
GT-004,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-004,gpt-oss-20b#r1,D3_contextualizacion,1
GT-004,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-004,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-004,gpt-oss-20b#r1,D4_consistencia,5
GT-004,gpt-oss-20b#r1,no_evaluable,0
GT-005,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-005,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-005,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-005,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-005,gpt-oss-20b#r1,D1_orden_logico,1
GT-005,gpt-oss-20b#r1,D2_coherencia,4
GT-005,gpt-oss-20b#r1,D3_conclusion_responde,0
GT-005,gpt-oss-20b#r1,D3_contextualizacion,1
GT-005,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-005,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-005,gpt-oss-20b#r1,D4_consistencia,5
GT-005,gpt-oss-20b#r1,no_evaluable,0
GT-006,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-006,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-006,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-006,gpt-oss-20b#r1,D1_imryd_resultados,0
GT-006,gpt-oss-20b#r1,D1_orden_logico,1
GT-006,gpt-oss-20b#r1,D2_coherencia,5
GT-006,gpt-oss-20b#r1,D3_conclusion_responde,0
GT-006,gpt-oss-20b#r1,D3_contextualizacion,1
GT-006,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-006,gpt-oss-20b#r1,D3_resultados_concretos,0
GT-006,gpt-oss-20b#r1,D4_consistencia,3
GT-006,gpt-oss-20b#r1,no_evaluable,0
GT-007,gpt-oss-20b#r1,D1_imryd_conclusiones,0
GT-007,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-007,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-007,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-007,gpt-oss-20b#r1,D1_orden_logico,1
GT-007,gpt-oss-20b#r1,D2_coherencia,4
GT-007,gpt-oss-20b#r1,D3_conclusion_responde,0
GT-007,gpt-oss-20b#r1,D3_contextualizacion,1
GT-007,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-007,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-007,gpt-oss-20b#r1,D4_consistencia,3
GT-007,gpt-oss-20b#r1,no_evaluable,0
GT-008,gpt-oss-20b#r1,D1_imryd_conclusiones,1
GT-008,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-008,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-008,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-008,gpt-oss-20b#r1,D1_orden_logico,1
GT-008,gpt-oss-20b#r1,D2_coherencia,4
GT-008,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-008,gpt-oss-20b#r1,D3_contextualizacion,1
GT-008,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-008,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-008,gpt-oss-20b#r1,D4_consistencia,5
GT-008,gpt-oss-20b#r1,no_evaluable,0
GT-009,gpt-oss-20b#r1,D1_imryd_conclusiones,1
GT-009,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-009,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-009,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-009,gpt-oss-20b#r1,D1_orden_logico,1
GT-009,gpt-oss-20b#r1,D2_coherencia,4
GT-009,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-009,gpt-oss-20b#r1,D3_contextualizacion,0
GT-009,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-009,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-009,gpt-oss-20b#r1,D4_consistencia,5
GT-009,gpt-oss-20b#r1,no_evaluable,0
GT-010,gpt-oss-20b#r1,D1_imryd_conclusiones,1
GT-010,gpt-oss-20b#r1,D1_imryd_metodologia,1
GT-010,gpt-oss-20b#r1,D1_imryd_objetivo,1
GT-010,gpt-oss-20b#r1,D1_imryd_resultados,1
GT-010,gpt-oss-20b#r1,D1_orden_logico,0
GT-010,gpt-oss-20b#r1,D2_coherencia,3
GT-010,gpt-oss-20b#r1,D3_conclusion_responde,1
GT-010,gpt-oss-20b#r1,D3_contextualizacion,0
GT-010,gpt-oss-20b#r1,D3_metodo_detallado,1
GT-010,gpt-oss-20b#r1,D3_resultados_concretos,1
GT-010,gpt-oss-20b#r1,D4_consistencia,5
GT-010,gpt-oss-20b#r1,no_evaluable,0
